Date,Open,High,Low,Close,Volume,AdjClose
3/17/2003,10783,11413,10609,11377,0,11377
3/10/2003,10695,10924,10199,10817,0,10817
3/5/2003,10263,10800,10104,10724,0,10724
2/24/2003,10334,10454,9977,10281,0,10281
2/17/2003,10089,10466,10089,10331,0,10331
2/10/2003,10388,10650,9968,10081,0,10081
2/3/2003,10943,11067,10355,10381,0,10381
1/27/2003,10768,11004,10457,10941,0,10941
1/20/2003,11675,11742,10753,10784,0,10784
1/13/2003,12243,12350,11555,11676,0,11676
1/6/2003,11636,12243,11633,12243,0,12243
12/30/2002,11235,11798,11212,11600,0,11600
12/23/2002,11493,11648,11207,11234,0,11234
12/16/2002,10620,11606,10526,11490,0,11490
12/9/2002,10562,10743,10307,10564,0,10564
12/2/2002,10517,10735,10346,10569,0,10569
11/25/2002,10407,10519,10084,10509,0,10509
11/18/2002,9910,10433,9839,10404,0,10404
11/11/2002,9873,9977,9569,9884,0,9884
11/4/2002,10147,10378,9583,9860,0,9860
10/28/2002,10022,10266,9439,10140,0,10140
10/21/2002,9022,10598,8979,10015,0,10015
10/14/2002,8853,9081,8225,9022,0,9022
10/7/2002,9268,9291,8604,8855,0,8855
9/30/2002,8718,9319,8352,9260,0,9260
9/23/2002,9575,9575,8703,8716,0,8716
9/16/2002,10171,10172,9353,9585,0,9585
9/9/2002,9725,10248,9716,10181,0,10181
9/2/2002,10383,10477,9643,9717,0,9717
8/26/2002,9690,10604,9689,10382,0,10382
8/19/2002,9512,9761,9258,9676,0,9676
8/12/2002,10008,10009,9017,9526,0,9526
8/5/2002,9848,10763,9452,9986,0,9986
7/29/2002,9251,9943,9188,9852,0,9852
7/22/2002,10568,10568,9155,9217,0,9217
7/15/2002,10966,10969,10474,10583,0,10583
7/8/2002,10524,10968,10213,10967,0,10967
7/1/2002,11138,11173,10425,10524,58803800,10524
6/24/2002,10438,11271,10247,11139,0,11139
6/17/2002,11705,12116,10298,10398,0,10398
6/10/2002,12306,12686,11601,11699,0,11699
6/3/2002,12859,12919,11955,12283,0,12283
5/27/2002,12578,13013,12528,12861,0,12861
5/20/2002,12700,12845,12244,12574,0,12574
5/13/2002,12147,12739,11943,12699,0,12699
5/6/2002,12594,12664,11944,12130,0,12130
4/29/2002,13076,13267,12431,12610,0,12610
4/22/2002,13484,13485,13037,13076,0,13076
4/15/2002,13772,13872,13438,13478,0,13478
4/8/2002,13248,13764,13114,13751,0,13751
4/1/2002,13256,13535,13041,13276,0,13276
3/25/2002,13359,13579,13183,13255,0,13255
3/18/2002,14366,14495,13283,13312,0,13312
3/11/2002,13959,14370,13593,14365,0,14365
3/4/2002,14373,14482,13640,13962,0,13962
2/25/2002,13567,14355,13567,14343,0,14343
2/18/2002,13208,13677,12919,13563,0,13563
2/13/2002,12599,13300,12504,13300,0,13300
2/4/2002,12648,12883,12415,12598,0,12598
1/28/2002,13161,13215,12301,12659,0,12659
1/21/2002,13367,13367,12956,13162,0,13162
1/14/2002,13594,13601,12937,13373,0,13373
1/7/2002,14327,14413,13511,13587,0,13587
1/2/2002,13586,14358,13571,14332,0,14332
12/26/2001,13367,13969,13245,13578,0,13578
12/17/2001,12965,13508,12809,13369,0,13369
12/10/2001,13299,13595,12894,12959,0,12959
12/3/2001,12914,13662,12870,13299,0,13299
11/26/2001,13443,13791,12622,12932,0,12932
11/19/2001,12906,13529,12560,13424,0,13424
11/12/2001,12729,13094,12233,12883,0,12883
11/5/2001,11389,12982,11389,12731,0,12731
10/29/2001,11784,11784,11024,11388,0,11388
10/22/2001,11343,11924,11293,11781,0,11781
10/15/2001,10775,11485,10695,11332,0,11332
10/8/2001,10120,10790,9986,10785,0,10785
10/1/2001,10633,10633,9985,10197,0,10197
9/24/2001,10453,10714,9705,10636,0,10636
9/17/2001,10032,10836,9890,10419,0,10419
9/10/2001,12238,12238,9533,10034,0,10034
9/3/2001,12849,12947,12251,12255,0,12255
8/27/2001,13000,13182,12789,12841,0,12841
8/20/2001,13044,13228,12681,13001,0,13001
8/13/2001,13914,13929,13010,13044,0,13044
8/6/2001,13856,14143,13705,13915,0,13915
7/30/2001,13948,14117,13606,13838,0,13838
7/23/2001,14108,14239,13679,13910,0,13910
7/16/2001,14081,14236,13641,14092,0,14092
7/10/2001,13930,14087,13361,14078,0,14078
7/2/2001,14579,14771,13788,13907,0,13907
6/25/2001,14682,14871,14164,14560,0,14560
6/18/2001,14982,15104,14245,14682,0,14682
6/11/2001,15291,15600,14956,14985,0,14985
6/4/2001,14798,15644,14798,15366,0,15366
5/28/2001,14328,14792,14056,14792,0,14792
5/21/2001,14871,15197,14179,14310,0,14310
5/14/2001,14499,15095,14104,14884,0,14884
